run_number	IntLumEndcapEE	startTime	endTime	2*sqrt(BPR_PRB*BER_PRB)*cos(0.022/2)*1000.	BER_PRB*1000	BPR_PRB*1000	S_R3O_BI_DCCT_current	E_R3O_BI_DCCT_current	S_R4O_BI_DCCT_current	E_R4O_BI_DCCT_current
55121	701.186	2018-04-20 03:34:24	2018-04-20 04:25:59	3549.3061441516	1774.7297317571	1774.7911567744	503.243183812	372.91795997	519.89400463	376.864107444
55122	334.587	2018-04-20 04:35:20	2018-04-20 04:57:14	3549.301959972	1774.6688494814	1774.8478585997	544.04596578	448.822515992	558.739484076	480.937104133
55123	314.467	2018-04-20 05:00:46	2018-04-20 05:25:27	3549.0101211122	1774.6121581256	1774.6126889248	419.30380735	365.076494784	468.267401734	401.599922857
55124	687.673	2018-04-20 05:34:06	2018-04-20 06:20:38	3549.1885665348	1774.7297317571	1774.6735719566	544.865779248	417.23736185	552.097143375	389.555542683
55125	634.922	2018-04-20 06:29:08	2018-04-20 07:10:46	3549.2494491686	1774.6121581256	1774.8520395671	549.181137886	428.285430088	553.230128644	420.601367452
55126	149.553	2018-04-20 12:20:21	2018-04-20 12:38:32	3549.2452687343	1774.6121581256	1774.8478585997	567.679737848	500.295541906	593.350138541	524.630496001
55127	585.112	2018-04-20 18:15:39	2018-04-20 18:59:46	3549.1318823336	1774.5554666895	1774.7911567744	560.063750386	416.221311112	558.952003079	431.01413454
55128	117.319	2018-04-20 19:15:38	2018-04-20 19:23:50	3549.1235075134	1774.6688494814	1774.6693908303	556.073258996	533.259280382	554.812883086	463.711413673
55129	243.882	2018-04-20 20:58:16	2018-04-20 21:16:06	3549.1927568784	1774.5554666895	1774.8520395671	534.65629761	473.198447208	539.884092215	493.313835775
55130	951.975	2018-04-20 21:23:43	2018-04-20 22:24:00	3549.2452654542	1774.7297317571	1774.7302738622	547.537187925999	390.704782036	554.972720075	382.070390373
55131	978.601	2018-04-20 22:33:52	2018-04-20 23:31:33	3549.3712067509	1774.6730404012	1774.9129222402	542.49458057	384.856471082	548.027467855	381.476460028
55132	944.358	2018-04-20 23:38:40	2018-04-20 23:47:32	3549.1843863304	1774.6688494814	1774.7302738622	545.007878648	515.706021696	553.324123177	522.283651126
55133	1047.7	2018-04-21 00:39:09	2018-04-21 01:41:26	3549.066819126	1774.6121581256	1774.6693908303	545.26071551	375.64887027	555.045645827	380.441151801
